seller_name,city_s,state_s,rating,total_orders,total_revenue
ApplianceKing,Bangalore,Karnataka,4.7,5,164403.33
BestDeals,Kochi,Kerala,4.8,5,163440.28
EliteMart,Ahmedabad,Gujarat,4.1,1,25195.2
FashionHub,Mumbai,Maharashtra,4.2,5,149941.58000000002
MegaShop,Chennai,Tamil Nadu,4.0,3,90053.36
PrimeSeller,Jaipur,Rajasthan,4.4,4,272797.1
QuickDeals,Hyderabad,Telangana,4.3,3,129915.29
SmartBazaar,Pune,Maharashtra,4.6,5,120639.55
TechMart India,Delhi,Delhi,4.5,5,262291.35
ValueStore,Kolkata,West Bengal,3.9,5,147190.1
